2025-12-10 22:52:05,957 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0590 | loss 0.1477 | val@20 0.6307 | test@20 0.3822 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:13,547 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0595 | loss 0.1475 | val@20 0.6254 | test@20 0.2784 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:21,128 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0600 | loss 0.1476 | val@20 0.5886 | test@20 0.2765 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:28,707 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0605 | loss 0.1461 | val@20 0.6006 | test@20 0.2680 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:36,292 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0610 | loss 0.1470 | val@20 0.6137 | test@20 0.2466 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:43,876 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0615 | loss 0.1473 | val@20 0.6397 | test@20 0.2163 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:51,451 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0620 | loss 0.1477 | val@20 0.6028 | test@20 0.3239 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:52:59,037 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0625 | loss 0.1463 | val@20 0.6008 | test@20 0.2727 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:53:06,622 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0630 | loss 0.1472 | val@20 0.6306 | test@20 0.2355 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:53:14,217 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0635 | loss 0.1468 | val@20 0.6190 | test@20 0.2593 | best 0.6489 (ep 580) | lr 0.001250
2025-12-10 22:53:21,795 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0640 | loss 0.1470 | val@20 0.6382 | test@20 0.2770 | best 0.6489 (ep 580) | lr 0.001250
