INFO:root:Dataset: 4267 nodes, 2135822 edges
INFO:root:Train edges: 1067911
INFO:root:Valid edges: 133489 pos, 101882 neg
INFO:root:Test edges: 133489 pos, 95599 neg
INFO:root:Loading external features...
INFO:src.data.external_features:Loading cached Morgan features from data/morgan_features.pt
INFO:src.data.external_features:  Morgan fingerprints: 2048 dims
INFO:src.data.external_features:Loaded PubChem features: shape=(4267, 9)
INFO:src.data.external_features:  PubChem properties: 9 dims
INFO:src.data.external_features:Loaded ChemBERTa features: shape=torch.Size([4267, 768])
INFO:src.data.external_features:  ChemBERTa embeddings: 768 dims
INFO:src.data.external_features:Loaded drug-target features: shape=torch.Size([4267, 229])
INFO:src.data.external_features:  Drug-target features: 229 dims
INFO:src.data.external_features:Combined features: 3054 dims total
INFO:root:Loaded features: {'morgan': 2048, 'pubchem': 9, 'chemberta': 768, 'drug_targets': 229}
INFO:root:Total feature dimension: 3054
INFO:root:================================================================================
INFO:root:Model Configuration:
INFO:root:  architecture: GCN + MLP
INFO:root:  num_layers: 2
INFO:root:  hidden_channels: 256
INFO:root:  dropout: 0.5
INFO:root:  fusion: concat
INFO:root:  external_features: ['morgan', 'pubchem', 'chemberta', 'drug_targets']
INFO:root:Training Configuration:
INFO:root:  epochs: 2000
INFO:root:  lr: 0.005
INFO:root:  batch_size: 65536
INFO:root:  eval_steps: 5
INFO:root:  runs: 1
INFO:root:================================================================================
INFO:root:[GCN] Epoch 0420 | loss 0.1657 | val@20 0.5118 | test@20 0.2874 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0425 | loss 0.1647 | val@20 0.6000 | test@20 0.3251 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0430 | loss 0.1641 | val@20 0.5495 | test@20 0.5514 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0435 | loss 0.1639 | val@20 0.6264 | test@20 0.3982 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0440 | loss 0.1661 | val@20 0.5205 | test@20 0.3212 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0445 | loss 0.1655 | val@20 0.5900 | test@20 0.4946 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0450 | loss 0.1624 | val@20 0.6231 | test@20 0.3662 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0455 | loss 0.1667 | val@20 0.4331 | test@20 0.2384 | best 0.6297 (ep 405)
INFO:root:[GCN] Epoch 0460 | loss 0.1623 | val@20 0.6311 | test@20 0.4740 | best 0.6311 (ep 460)
INFO:root:[GCN] Epoch 0465 | loss 0.1629 | val@20 0.6337 | test@20 0.4298 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0470 | loss 0.1670 | val@20 0.5626 | test@20 0.3779 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0475 | loss 0.1656 | val@20 0.5421 | test@20 0.4069 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0480 | loss 0.1601 | val@20 0.6161 | test@20 0.5173 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0485 | loss 0.1627 | val@20 0.6311 | test@20 0.4373 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0490 | loss 0.1624 | val@20 0.6303 | test@20 0.5351 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0495 | loss 0.1637 | val@20 0.6112 | test@20 0.5299 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0500 | loss 0.1617 | val@20 0.5341 | test@20 0.4871 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0505 | loss 0.1616 | val@20 0.6053 | test@20 0.4647 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0510 | loss 0.1597 | val@20 0.6215 | test@20 0.5105 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0515 | loss 0.1612 | val@20 0.5948 | test@20 0.3624 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0520 | loss 0.1628 | val@20 0.4906 | test@20 0.1931 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0525 | loss 0.1603 | val@20 0.5872 | test@20 0.3394 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0530 | loss 0.1595 | val@20 0.5844 | test@20 0.3644 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0535 | loss 0.1597 | val@20 0.5652 | test@20 0.4865 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0540 | loss 0.1599 | val@20 0.5870 | test@20 0.3012 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0545 | loss 0.1615 | val@20 0.5041 | test@20 0.3322 | best 0.6337 (ep 465)
INFO:root:[GCN] Epoch 0550 | loss 0.1595 | val@20 0.6531 | test@20 0.5459 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0555 | loss 0.1610 | val@20 0.5939 | test@20 0.4922 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0560 | loss 0.1606 | val@20 0.5724 | test@20 0.5109 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0565 | loss 0.1592 | val@20 0.5668 | test@20 0.6920 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0570 | loss 0.1605 | val@20 0.5547 | test@20 0.5119 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0575 | loss 0.1601 | val@20 0.5774 | test@20 0.5738 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0580 | loss 0.1585 | val@20 0.5553 | test@20 0.3745 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0585 | loss 0.1597 | val@20 0.5394 | test@20 0.4822 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0590 | loss 0.1634 | val@20 0.6298 | test@20 0.4778 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0595 | loss 0.1593 | val@20 0.4933 | test@20 0.3300 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0600 | loss 0.1585 | val@20 0.5661 | test@20 0.5224 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0605 | loss 0.1573 | val@20 0.6433 | test@20 0.5405 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0610 | loss 0.1572 | val@20 0.5989 | test@20 0.4338 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0615 | loss 0.1585 | val@20 0.6403 | test@20 0.6209 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0620 | loss 0.1563 | val@20 0.6021 | test@20 0.5262 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0625 | loss 0.1581 | val@20 0.5291 | test@20 0.5144 | best 0.6531 (ep 550)
INFO:root:[GCN] Epoch 0630 | loss 0.1593 | val@20 0.5793 | test@20 0.5032 | best 0.6531 (ep 550)
